"","Control__1","Control__2","Control__3","Dose0_005__1","Dose0_005__2","Dose0_005__3","Dose0_08__1","Dose0_08__2","Dose0_08__3","Dose2__1","Dose2__2","Dose2__3","Dose24__1","Dose24__2","Dose24__3"
"hsa-miR-138-5p",1125.57112866362,531.912304689107,87.1016863979601,444.170344516041,1899.31671405442,193.487840367911,418.862167521028,435.799861161193,0,187.316701495103,407.810223945848,298.855212727768,40.6884461878286,79.2780114394241,261.156287939663
"hsa-miR-140-3p",1599.49581441672,664.890380861383,1132.32192317348,2975.94130825747,3556.16746461253,1741.3905633112,3001.8455339007,1917.51938910925,2224.19732353815,1685.85031345593,2290.01125754207,2054.6295875034,1118.93227016529,1090.07265729208,1601.75856602993
"hsa-miR-141-3p",13032.9288582103,6781.88188478611,10800.609113347,18521.9033663189,11274.6673025784,16429.6414016753,13822.4515281939,7234.2776952758,21292.9823773386,16697.9459618492,15622.2685788487,9040.37018501498,12735.4836567903,13239.4279103838,15913.1231451234
"hsa-miR-143-3p",296.202928595689,465.423266602968,174.20337279592,177.668137806416,727.397890488927,58.8876035902339,698.103612535047,43.5799861161193,118.623857255368,615.469162055338,31.3700172266037,336.212114318739,101.721115469571,0,69.64167678391
"hsa-miR-144-5p",0,598.401342775245,435.5084319898,44.4170344516041,363.698945244464,25.2375443958145,104.715541880257,0,0,0,0,373.56901590971,142.4095616574,0,0
"hsa-miR-145-5p",414.684100033964,199.467114258415,87.1016863979601,399.753310064437,242.465963496309,0,488.672528774533,152.529951406418,207.591750196894,53.5190575700294,407.810223945848,298.855212727768,0,0,0
"hsa-miR-146a-5p",1007.08995722534,997.335571292075,696.81349118368,355.336275612833,484.931926992618,656.176154291178,418.862167521028,283.269909754775,682.087179218366,347.873874205191,250.96013781283,971.279441365245,528.949800441771,465.758317206616,156.693772763798
"hsa-miR-148a-3p",3317.47280027172,5053.16689454651,3048.5590239286,1421.34510245133,1616.43975664206,874.901539054904,977.345057549066,1459.92953489,2580.06889530426,2114.00277401616,1474.39080965037,1494.27606363884,1342.71872419834,1298.17743732057,1114.26682854256
"hsa-miR-148b-3p",829.368200067929,1396.2697998089,958.118550377561,133.251103354812,646.575902656824,403.800710333033,872.629515668809,588.32981256761,741.399107846051,401.39293177522,439.180241172452,1830.48817795758,508.605577347857,574.765582935824,661.595929447145
"hsa-miR-149-5p",296.202928595689,1130.31364746435,871.0168639796,266.502206709625,808.21987832103,504.750887916291,1326.39686381659,544.749826451491,741.399107846051,428.152460560235,596.030327305471,1195.42085091107,488.261354253943,465.758317206616,191.514611155753
"hsa-miR-150-5p",355.443514314827,265.956152344553,0,133.251103354812,0,403.800710333033,0,239.689923638656,148.27982156921,107.038115140059,345.070189492641,37.356901590971,142.4095616574,188.285277168632,139.28335356782
"hsa-miR-151a-3p",770.127614348791,664.890380861383,0,533.004413419249,808.21987832103,824.426450263275,418.862167521028,958.759694554625,919.334893729103,749.266805980411,1035.21056847792,635.067327046507,488.261354253943,782.870362964313,330.797964723573
"hsa-miR-151a-5p",592.405857191378,797.86845703366,871.0168639796,355.336275612833,525.34292090867,757.126331874436,837.724335042056,435.799861161193,148.27982156921,481.671518130264,156.850086133019,672.424228637478,203.442230939143,703.592351524889,1044.62515175865
"hsa-miR-152-3p",236.962342876551,0,435.5084319898,44.4170344516041,0,201.900355166516,104.715541880257,108.949965290298,266.903678824578,240.835759065132,156.850086133019,149.427606363884,305.163346408714,386.480305767192,400.439641507483
"hsa-miR-15a-5p",1954.93932873155,1861.69306641187,1306.5252959694,3775.44792838635,1980.13870188652,2321.85408441494,1221.68132193633,958.759694554625,2075.91750196894,1498.53361196082,1286.17070629075,1867.84507954855,2563.3721098332,1565.74072592863,1462.47521246211
"hsa-miR-16-5p",4680.00627181188,7579.75034181977,3048.5590239286,12703.2718531588,3556.16746461253,8723.77784615323,3490.51806267523,6994.58777163715,7829.17457885429,7572.94664615916,4642.76254953735,5117.89551796302,13793.3832576739,10930.4558272106,7033.80935517491
"hsa-miR-181a-5p",3435.95397170999,4787.21074220196,6184.21973425516,3908.69903174116,3071.23553761991,3625.79387819869,5026.34601025234,2222.57929192208,2787.66064550115,3692.81497233203,6336.74347977395,5528.82143546371,6184.64382054994,5321.53651787134,5049.02156683348
"hsa-miR-181b-5p",710.887028629653,3590.40805665147,783.915177581641,1376.92806799973,1333.5627992297,2363.91665840796,1884.87975384463,1481.71952794806,474.495429021472,2354.83853308129,3733.03204996584,448.282819091652,2685.43744839668,2031.49904313524,1183.90850532647
"hsa-miR-181d-5p",0,132.978076172277,87.1016863979601,133.251103354812,484.931926992618,294.43801795117,698.103612535047,261.479916696716,237.247714510736,401.39293177522,282.330155039433,0,142.4095616574,406.299808627048,139.28335356782
"hsa-miR-182-5p",0,199.467114258415,261.30505919388,399.753310064437,565.753914824721,1068.38937942282,523.577709401285,152.529951406418,860.022965101419,963.343036260529,1003.84055125132,709.781130228449,1139.2764932592,921.606882983305,522.312575879325
"hsa-miR-183-5p",118.481171438276,598.401342775245,87.1016863979601,710.672551225666,40.4109939160515,513.163402714896,383.956986894276,479.379847277312,266.903678824578,294.354816635162,470.550258399056,0,630.670915911343,584.675334365753,365.618803115528
"hsa-miR-186-5p",1303.29288582103,1595.73691406732,1567.83035516328,1021.59179238689,1616.43975664206,1337.58985297817,1884.87975384463,1329.18957654164,1126.926643926,963.343036260529,1286.17070629075,1419.5622604569,712.047808287,951.336137273089,1236.1397629144
"hsa-miR-190b-5p",6516.46442910516,2925.51767579009,7055.23659823476,4797.03972077324,6546.58101440034,4845.60852399639,6562.17395782944,8084.08742454013,10646.4911886693,3826.6126162571,1662.61091301,8741.51497228721,2319.24143270623,2011.67954027539,3220.92755125584
"hsa-miR-191-5p",17772.1757157413,14960.0335693811,22036.7266586839,12658.8548187072,17336.3163899861,15891.2404545646,15462.9950176513,14621.085341958,15954.908800847,12898.0928743771,20296.4011456126,13635.2690807044,13956.1370424252,15806.0535307352,18855.4839892436
"hsa-miR-193b-3p",1895.69874301241,465.423266602968,783.915177581641,310.919241161229,0,84.1251479860485,767.913973788552,697.279777857909,563.463321962998,240.835759065132,1411.65077519717,298.855212727768,223.786454033057,227.924282888344,17.4104191959775
"hsa-miR-19a-3p",3554.43514314827,1662.22595215346,1480.72866876532,1998.76655032218,1333.5627992297,1589.96529693632,1954.69011509813,1743.19944464477,2016.60557334126,1070.38115140059,1035.21056847792,1008.63634295622,1220.65338563486,1080.16290586215,800.879283014965
"hsa-miR-19b-3p",17357.4916157074,18683.4197022049,8187.55852140825,13680.4466110941,8445.89772845477,9110.75352688905,10436.649007399,6929.21779246297,10527.8673314139,9392.59460354016,11042.2460637645,9301.86849615177,6774.62629027345,6441.3384294532,4526.70899095415
"hsa-miR-200a-3p",6220.26150050947,4787.21074220196,4529.28769269392,13680.4466110941,5213.01821517064,8370.45222461182,5026.34601025234,6428.0479521276,10557.5232957278,9312.31601718511,9316.8951163013,4520.18509250749,7547.7067678422,8829.58852406586,9331.98468904394
"hsa-miR-200b-3p",4976.20920040757,4055.83132325444,6271.32142065312,4397.2864107088,4323.97634901751,6906.67464965458,4328.24239771729,7800.81751478535,5693.94514825767,4763.19612373261,8438.5346339564,7844.94933410391,4841.9250963516,6936.82600094961,12396.218467536
"hsa-miR-200b-5p",0,598.401342775245,261.30505919388,177.668137806416,161.643975664206,538.40094711071,453.76734814778,130.739958348358,148.27982156921,294.354816635162,470.550258399056,149.427606363884,467.917131160028,495.4875714964,731.237606231055
"hsa-miR-200c-3p",18601.5439158093,17220.6608643098,12020.0327229185,25673.0459130272,17700.0153352306,23555.0414360936,17417.6851327494,25102.0720028847,19928.8080189018,22370.9660642723,29707.4063135937,25552.1206882242,26935.7513763425,28619.3621296321,39539.0619940649
