"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1227990","R-HSA-1227990","Signaling by ERBB2 in Cancer","11/1871","26/11287",0.423076923076923,2.55225506722033,3.53211612010074,0.0017152601914987,0.00832988329617958,0.00832988329617958,"11140/3845/3320/4893/1956/1839/5295/2064/2066/2069/2885",11
"R-HSA-1236382","R-HSA-1236382","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","9/1871","19/11287",0.473684210526316,2.85754873554812,3.61216258664221,0.0017442117298859,0.00842302807373472,0.00842302807373472,"867/11140/3845/3320/4893/1956/5295/7311/2885",9
"R-HSA-5637815","R-HSA-5637815","Signaling by Ligand-Responsive EGFR Variants in Cancer","9/1871","19/11287",0.473684210526316,2.85754873554812,3.61216258664221,0.0017442117298859,0.00842302807373472,0.00842302807373472,"867/11140/3845/3320/4893/1956/5295/7311/2885",9
"R-HSA-9856649","R-HSA-9856649","Transcriptional and post-translational regulation of MITF-M expression and activity","20/1871","62/11287",0.32258064516129,1.94600093101843,3.32941495171501,0.00175561669702701,0.00842841513811993,0.00842841513811993,"7965/6662/7529/4286/4141/999/2058/5077/7531/7534/7514/6195/4254/51176/2033/5594/5595/1385/6657/3815",20
"R-HSA-1234174","R-HSA-1234174","Cellular response to hypoxia","20/1871","62/11287",0.32258064516129,1.94600093101843,3.32941495171501,0.00175561669702701,0.00842841513811993,0.00842841513811993,"7422/5693/5704/5714/405/64344/5717/2034/3091/5688/55662/5707/2033/5705/7311/11047/7323/112399/5684/9861",20
"R-HSA-212300","R-HSA-212300","PRC2 methylates histones and DNA","23/1871","75/11287",0.306666666666667,1.84999821842152,3.2921589424787,0.00176977162412959,0.00842841513811993,0.00842841513811993,"26147/2146/333932/5928/8357/3021/8338/1786/1789/23512/8351/85236/3720/8331/100170841/8358/554313/3017/8337/8370/1788/8349/8343",23
"R-HSA-174143","R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","23/1871","75/11287",0.306666666666667,1.84999821842152,3.2921589424787,0.00176977162412959,0.00842841513811993,0.00842841513811993,"26271/5347/5693/5704/991/5714/64682/701/11065/27338/5717/983/9232/8945/9212/5688/5707/890/5705/7311/11047/5684/9861",23
"R-HSA-453276","R-HSA-453276","Regulation of mitotic cell cycle","23/1871","75/11287",0.306666666666667,1.84999821842152,3.2921589424787,0.00176977162412959,0.00842841513811993,0.00842841513811993,"26271/5347/5693/5704/991/5714/64682/701/11065/27338/5717/983/9232/8945/9212/5688/5707/890/5705/7311/11047/5684/9861",23
"R-HSA-5696399","R-HSA-5696399","Global Genome Nucleotide Excision Repair (GG-NER)","25/1871","84/11287",0.297619047619048,1.795417525642,3.26167978899504,0.00182597513432028,0.00865160304140907,0.00865160304140907,"8451/1022/5427/7507/60/5984/2873/5426/2072/6118/54891/50813/6117/5424/8607/10445/54617/5985/7311/7515/7528/5111/142/54778/1642",25
"R-HSA-5625740","R-HSA-5625740","RHO GTPases activate PKNs","27/1871","93/11287",0.290322580645161,1.75140083791659,3.24335278220323,0.00183562930081086,0.00865160304140907,0.00865160304140907,"7529/333932/8357/29941/387/7531/3021/8338/7534/388/8351/10971/85236/79784/4627/8331/8358/554313/3017/10499/8337/8370/103910/8349/5170/5058/8343",27
"R-HSA-2644602","R-HSA-2644602","Signaling by NOTCH1 PEST Domain Mutants in Cancer","19/1871","58/11287",0.327586206896552,1.97619749718941,3.32242233398526,0.00185176422406029,0.00865160304140907,0.00865160304140907,"8841/3066/182/4609/3516/1024/8850/9759/4851/57534/51107/2648/2033/10014/7311/6868/102/79885/142678",19
"R-HSA-2644603","R-HSA-2644603","Signaling by NOTCH1 in Cancer","19/1871","58/11287",0.327586206896552,1.97619749718941,3.32242233398526,0.00185176422406029,0.00865160304140907,0.00865160304140907,"8841/3066/182/4609/3516/1024/8850/9759/4851/57534/51107/2648/2033/10014/7311/6868/102/79885/142678",19
"R-HSA-2644606","R-HSA-2644606","Constitutive Signaling by NOTCH1 PEST Domain Mutants","19/1871","58/11287",0.327586206896552,1.97619749718941,3.32242233398526,0.00185176422406029,0.00865160304140907,0.00865160304140907,"8841/3066/182/4609/3516/1024/8850/9759/4851/57534/51107/2648/2033/10014/7311/6868/102/79885/142678",19
"R-HSA-2894858","R-HSA-2894858","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer","19/1871","58/11287",0.327586206896552,1.97619749718941,3.32242233398526,0.00185176422406029,0.00865160304140907,0.00865160304140907,"8841/3066/182/4609/3516/1024/8850/9759/4851/57534/51107/2648/2033/10014/7311/6868/102/79885/142678",19
"R-HSA-2894862","R-HSA-2894862","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants","19/1871","58/11287",0.327586206896552,1.97619749718941,3.32242233398526,0.00185176422406029,0.00865160304140907,0.00865160304140907,"8841/3066/182/4609/3516/1024/8850/9759/4851/57534/51107/2648/2033/10014/7311/6868/102/79885/142678",19
"R-HSA-8939236","R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","32/1871","116/11287",0.275862068965517,1.66416631342266,3.20504037517819,0.00186146714680966,0.00867343070567529,0.00867343070567529,"4297/1022/5693/5704/861/5714/333932/8357/5717/2623/3021/8338/25/865/5688/8351/5707/85236/5705/7311/4602/8331/11047/5684/8358/554313/3017/8337/9861/8370/8349/8343",32
"R-HSA-110314","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex","12/1871","30/11287",0.4,2.41304115446285,3.45444113758227,0.0019092501994888,0.00887209526662722,0.00887209526662722,"8451/5427/5984/5426/6118/6117/5424/5985/7311/56852/5111/1642",12
"R-HSA-5693567","R-HSA-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","36/1871","135/11287",0.266666666666667,1.60869410297524,3.17148958839342,0.0019281261625591,0.00893572447379538,0.00893572447379538,"165918/472/5427/5984/5932/641/5888/25/1111/5426/2072/6118/55732/6117/5424/80010/85236/79184/5893/890/5985/7311/63967/675/7468/9156/4361/554313/5111/3017/580/8924/8370/672/8349/8343",36
"R-HSA-165054","R-HSA-165054","Rev-mediated nuclear export of HIV RNA","13/1871","34/11287",0.382352941176471,2.30658345647185,3.40107450541616,0.00202877088254514,0.00937694638473945,0.00937694638473945,"81929/23225/9818/7514/5901/9883/79023/53371/8086/348995/5903/1104/8021",13
"R-HSA-72203","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","68/1871","294/11287",0.231292517006803,1.39529590564179,3.06133995063259,0.00205213641254278,0.00942682074703949,0.00942682074703949,"10262/9295/81929/6434/6432/3187/23451/23020/26097/55696/22794/3191/9343/3185/10907/26121/4670/10713/3190/23450/23225/10523/9939/25804/5432/9818/6426/22916/10291/1479/10594/163859/10921/5441/6625/27339/1977/5725/9883/9130/55954/8189/79023/53371/8086/348995/5093/11325/6628/3192/3178/7311/10212/5903/2962/9716/9879/64852/10992/6634/11338/11193/8021/58517/1665/79869/55339/9589",68
"R-HSA-1963640","R-HSA-1963640","GRB2 events in ERBB2 signaling","8/1871","16/11287",0.5,3.01630144307857,3.59755895098478,0.00205596554575803,0.00942682074703949,0.00942682074703949,"3845/4893/1956/1839/2064/2066/2069/2885",8
"R-HSA-9665348","R-HSA-9665348","Signaling by ERBB2 ECD mutants","8/1871","16/11287",0.5,3.01630144307857,3.59755895098478,0.00205596554575803,0.00942682074703949,0.00942682074703949,"11140/3845/3320/4893/1956/5295/2064/2885",8
"R-HSA-9607240","R-HSA-9607240","FLT3 Signaling","14/1871","38/11287",0.368421052631579,2.22253790542631,3.36488995173417,0.00208685353620837,0.00944287531869615,0.00944287531869615,"867/207/3845/208/4893/10018/2887/8835/5781/5295/7311/1027/6777/2885",14
"R-HSA-73933","R-HSA-73933","Resolution of Abasic Sites (AP sites)","14/1871","38/11287",0.368421052631579,2.22253790542631,3.36488995173417,0.00208685353620837,0.00944287531869615,0.00944287531869615,"5427/2237/5984/252969/5426/6118/8930/6117/5424/5985/328/7515/5111/142",14
"R-HSA-8864260","R-HSA-8864260","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","14/1871","38/11287",0.368421052631579,2.22253790542631,3.36488995173417,0.00208685353620837,0.00944287531869615,0.00944287531869615,"7422/4609/1026/4605/1956/79047/4869/2099/29028/2064/7913/2033/7528/3815",14
"R-HSA-9013407","R-HSA-9013407","RHOH GTPase cycle","14/1871","38/11287",0.368421052631579,2.22253790542631,3.36488995173417,0.00208685353620837,0.00944287531869615,0.00944287531869615,"1627/6093/10298/9341/396/7037/9497/9528/4548/5062/10376/6510/857/5058",14
"R-HSA-8950505","R-HSA-8950505","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","14/1871","38/11287",0.368421052631579,2.22253790542631,3.36488995173417,0.00208685353620837,0.00944287531869615,0.00944287531869615,"759/998/3185/302/4478/5908/6647/5478/4282/6950/5062/1072/4001/1265",14
"R-HSA-9958825","R-HSA-9958825","Activation of STAT3 by cadherin engagement","23/1871","76/11287",0.302631578947368,1.82565613660019,3.21927090643358,0.00214720382425929,0.00969052197126442,0.00969052197126442,"998/57531/5693/5704/999/5714/60/5717/3569/331/6774/5688/5707/84231/5705/7311/3570/71/1500/11047/5684/9861/7410",23
"R-HSA-179812","R-HSA-179812","GRB2 events in EGFR signaling","7/1871","13/11287",0.538461538461538,3.24832463100769,3.6154750680514,0.00230639326584132,0.0103547447664334,0.0103547447664334,"3845/4893/1956/255324/1839/2069/2885",7
"R-HSA-9768759","R-HSA-9768759","Regulation of NPAS4 gene expression","7/1871","13/11287",0.538461538461538,3.24832463100769,3.6154750680514,0.00230639326584132,0.0103547447664334,0.0103547447664334,"27327/23112/5978/2908/192669/27161/26523",7
"R-HSA-8939902","R-HSA-8939902","Regulation of RUNX2 expression and activity","19/1871","59/11287",0.322033898305085,1.94270262435569,3.2361095250335,0.00231437012640887,0.0103628327399591,0.0103628327399591,"7291/5693/5704/5714/5717/133522/2099/865/5688/2908/5707/6772/2101/5705/7311/1749/11047/5684/9861",19
"R-HSA-9710421","R-HSA-9710421","Defective pyroptosis","22/1871","72/11287",0.305555555555556,1.84329532632579,3.19977907839304,0.00232021661115093,0.0103628327399591,0.0103628327399591,"2146/333932/5928/8357/3021/8338/1786/1789/23512/8351/85236/5422/8331/5557/8358/554313/3017/8337/8370/1788/8349/8343",22
"R-HSA-983705","R-HSA-983705","Signaling by the B Cell Receptor (BCR)","28/1871","99/11287",0.282828282828283,1.70619071527677,3.14584313864379,0.00233975512572856,0.0104230951854161,0.0104230951854161,"3845/5693/5704/5714/6786/4893/5478/5717/695/8945/5688/5295/3551/5707/4772/5705/7311/10892/808/11047/5684/801/5966/5530/9861/3708/2885/30011",28
"R-HSA-74749","R-HSA-74749","Signal attenuation","6/1871","10/11287",0.6,3.61956173169428,3.69407355690361,0.00235670766815147,0.0104715567523019,0.0104715567523019,"8660/2887/5594/3667/5595/2885",6
"R-HSA-9648002","R-HSA-9648002","RAS processing","11/1871","27/11287",0.407407407407407,2.45772710176772,3.38035729725605,0.00246598184538045,0.0109289272530486,0.0109289272530486,"3845/4893/9986/598/10434/7311/2339/808/58489/23463/801",11
"R-HSA-176408","R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase","21/1871","68/11287",0.308823529411765,1.86300971484264,3.18175517179519,0.00249989343618736,0.0110508109845821,0.0110508109845821,"26271/5347/5693/5704/991/5714/64682/701/11065/27338/5717/983/8945/5688/5707/890/5705/7311/11047/5684/9861",21
"R-HSA-162599","R-HSA-162599","Late Phase of HIV Life Cycle","36/1871","137/11287",0.262773722627737,1.58520951753034,3.0719060009108,0.00253335746481188,0.0111416027278972,0.0111416027278972,"9150/1025/81929/137492/1022/23225/100526767/5478/6874/5432/9818/22916/5045/5441/11198/51616/7514/6924/5901/51652/9883/4836/79720/905/79023/53371/8086/23327/348995/7311/5903/2962/1104/8021/9525/6749",36
"R-HSA-9948299","R-HSA-9948299","Ribosome-associated quality control","36/1871","137/11287",0.262773722627737,1.58520951753034,3.0719060009108,0.00253335746481188,0.0111416027278972,0.0111416027278972,"6210/6157/6134/6201/5693/5704/5714/6204/6146/6136/5717/6142/6218/55666/6154/6187/6147/5688/6222/5707/6132/6188/5705/6124/6133/7311/6122/6192/6203/11047/7323/5684/6227/6176/9861/26046",36
"R-HSA-69601","R-HSA-69601","Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A","17/1871","51/11287",0.333333333333333,2.01086762871905,3.22512984227631,0.00256234922891514,0.0112119037326134,0.0112119037326134,"5693/5704/5714/5717/8945/1111/5688/1432/5707/1454/5705/7311/993/11200/11047/5684/9861",17
"R-HSA-69613","R-HSA-69613","p53-Independent G1/S DNA Damage Checkpoint","17/1871","51/11287",0.333333333333333,2.01086762871905,3.22512984227631,0.00256234922891514,0.0112119037326134,0.0112119037326134,"5693/5704/5714/5717/8945/1111/5688/1432/5707/1454/5705/7311/993/11200/11047/5684/9861",17
"R-HSA-9633012","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","27/1871","95/11287",0.28421052631579,1.71452924132887,3.11746545866604,0.00257062344034903,0.0112196324333208,0.0112196324333208,"6210/6157/6134/6201/6204/6146/6136/6142/6218/6154/6187/10985/6147/6222/6132/6188/6124/6133/7311/6122/6192/1386/1054/6203/6227/6176/1051",27
"R-HSA-168898","R-HSA-168898","Toll-like Receptor Cascades","43/1871","171/11287",0.251461988304094,1.51697031640209,3.03642868314243,0.0025926917970283,0.0112873753991838,0.0112873753991838,"6416/4205/4214/9252/5608/9261/7100/148022/5606/51135/79155/948/4791/3146/64145/695/8945/6197/7157/5599/6195/3654/5781/351/1432/8651/3551/5594/7311/1848/7184/5595/114609/1385/1386/5519/7323/23118/2002/7097/5515/653509/5775",43
"R-HSA-9007101","R-HSA-9007101","Rab regulation of trafficking","33/1871","123/11287",0.268292682926829,1.61850321335923,3.07438529292044,0.00261611564161395,0.011360663390787,0.011360663390787,"7109/64786/11021/81631/207/22931/2665/5868/125058/208/7248/7531/4943/54662/201475/160518/10981/23011/8408/10890/117177/5861/51552/201627/9909/79890/382/5878/5869/81876/51762/81846/23163",33
"R-HSA-168274","R-HSA-168274","Export of Viral Ribonucleoproteins from Nucleus","12/1871","31/11287",0.387096774193548,2.33520111722212,3.31825061508116,0.00265139397012782,0.0114561483822064,0.0114561483822064,"81929/23225/9818/7514/5901/9883/79023/53371/8086/348995/5903/8021",12
"R-HSA-168333","R-HSA-168333","NEP/NS2 Interacts with the Cellular Export Machinery","12/1871","31/11287",0.387096774193548,2.33520111722212,3.31825061508116,0.00265139397012782,0.0114561483822064,0.0114561483822064,"81929/23225/9818/7514/5901/9883/79023/53371/8086/348995/5903/8021",12
"R-HSA-176814","R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","20/1871","64/11287",0.3125,1.8851884019241,3.16551891075528,0.00268421780339739,0.0115689787326427,0.0115689787326427,"5347/5693/5704/991/5714/64682/701/11065/27338/5717/983/9232/5688/5707/890/5705/7311/11047/5684/9861",20
"R-HSA-69186","R-HSA-69186","Lagging Strand Synthesis","9/1871","20/11287",0.45,2.71467129877071,3.42109725820561,0.00270904253545107,0.0116468561873258,0.0116468561873258,"2237/5984/6118/6117/5424/5422/5985/5557/5111",9
"R-HSA-5621481","R-HSA-5621481","C-type lectin receptors (CLRs)","34/1871","128/11287",0.265625,1.60241014163549,3.05533132330895,0.00271675044897973,0.0116509397364205,0.0116509397364205,"5894/9252/4585/3845/5693/5704/5714/4791/9020/4893/5717/8945/4582/5688/3551/5707/2033/5062/4772/5705/7311/10892/808/11047/5684/801/5567/5530/23118/9861/283463/3708/5170/5058",34
"R-HSA-5693579","R-HSA-5693579","Homologous DNA Pairing and Strand Exchange","15/1871","43/11287",0.348837209302326,2.10439635563621,3.23424165292605,0.00273396836335679,0.0116667362832354,0.0116667362832354,"472/5984/5932/641/5888/1111/6118/6117/80010/5985/675/9156/4361/580/672",15
"R-HSA-9696270","R-HSA-9696270","RND2 GTPase cycle","15/1871","43/11287",0.348837209302326,2.10439635563621,3.23424165292605,0.00273396836335679,0.0116667362832354,0.0116667362832354,"7037/394/392/10818/5296/5295/1969/9231/57498/23513/9352/2909/224/857/23129",15
"R-HSA-8853884","R-HSA-8853884","Transcriptional Regulation by VENTX","14/1871","39/11287",0.358974358974359,2.16554975400513,3.25011822152122,0.00276644476568172,0.0117761747556427,0.0117761747556427,"27327/6934/64682/23112/11065/27338/3569/7157/51176/192669/26523/1029/595/1051",14
"R-HSA-2408557","R-HSA-2408557","Selenocysteine synthesis","25/1871","87/11287",0.28735632183908,1.73350657648194,3.06145809182442,0.00309561984333639,0.0131126501472038,0.0131126501472038,"6210/6157/6134/6201/6204/6146/6136/6142/22928/6218/6154/6187/6147/6222/6132/6188/6124/6133/7311/6122/60678/6192/6203/6227/6176",25
"R-HSA-72764","R-HSA-72764","Eukaryotic Translation Termination","25/1871","87/11287",0.28735632183908,1.73350657648194,3.06145809182442,0.00309561984333639,0.0131126501472038,0.0131126501472038,"6210/6157/6134/6201/6204/327/6146/6136/6142/6218/6154/6187/6147/6222/6132/6188/6124/6133/7311/6122/6192/6203/6227/2107/6176",25
"R-HSA-9709603","R-HSA-9709603","Impaired BRCA2 binding to PALB2","10/1871","24/11287",0.416666666666667,2.51358453589881,3.30871189340196,0.00317119275558458,0.0133670814440778,0.0133670814440778,"472/5932/641/5888/80010/675/9156/4361/580/672",10
"R-HSA-9820841","R-HSA-9820841","M-decay: degradation of maternal mRNAs by maternally stored factors","10/1871","24/11287",0.416666666666667,2.51358453589881,3.30871189340196,0.00317119275558458,0.0133670814440778,0.0133670814440778,"57472/23405/4850/1977/29883/1974/23019/26986/27161/1975",10
"R-HSA-1502540","R-HSA-1502540","Signaling by Activin","8/1871","17/11287",0.470588235294118,2.83887194642689,3.38210963602809,0.00332375158780493,0.0139419652977511,0.0139419652977511,"4088/91/10589/4089/5594/5595/7049/4087",8
"R-HSA-180292","R-HSA-180292","GAB1 signalosome","8/1871","17/11287",0.470588235294118,2.83887194642689,3.38210963602809,0.00332375158780493,0.0139419652977511,0.0139419652977511,"5829/1956/5781/255324/1839/5295/2069/2885",8
"R-HSA-2122947","R-HSA-2122947","NOTCH1 Intracellular Domain Regulates Transcription","16/1871","48/11287",0.333333333333333,2.01086762871905,3.12841791423205,0.00338941449369119,0.0141260076701435,0.0141260076701435,"8841/3066/4609/3516/1024/8850/9759/4851/7088/3091/7091/2648/2033/10014/7311/79885",16
"R-HSA-73893","R-HSA-73893","DNA Damage Bypass","16/1871","48/11287",0.333333333333333,2.01086762871905,3.12841791423205,0.00338941449369119,0.0141260076701435,0.0141260076701435,"8451/5427/9768/5984/55666/5426/6118/6117/11201/5424/83932/5985/7311/56852/5111/1642",16
"R-HSA-192823","R-HSA-192823","Viral mRNA Translation","24/1871","83/11287",0.289156626506024,1.7443670996117,3.03398449730884,0.00339220833842192,0.0141260076701435,0.0141260076701435,"6210/6157/6134/6201/6204/6146/6136/2926/6142/6218/6154/6187/6147/6222/6132/6188/6124/6133/7311/6122/6192/6203/6227/6176",24
"R-HSA-2871796","R-HSA-2871796","FCERI mediated MAPK activation","12/1871","32/11287",0.375,2.26222608230893,3.18722762795571,0.00361173367958739,0.015003924972551,0.015003924972551,"6416/4214/3845/10451/4893/5599/5594/5062/5595/2885/7410/5058",12
"R-HSA-176033","R-HSA-176033","Interactions of Vpr with host cellular proteins","13/1871","36/11287",0.361111111111111,2.1784399311123,3.1567255826401,0.00365453238012004,0.0151089060511438,0.0151089060511438,"81929/23225/9818/3159/11168/9883/79023/53371/293/8086/348995/5903/8021",13
"R-HSA-5673000","R-HSA-5673000","RAF activation","13/1871","36/11287",0.361111111111111,2.1784399311123,3.1567255826401,0.00365453238012004,0.0151089060511438,0.0151089060511438,"5894/7529/3845/5529/4893/5527/4296/673/8844/808/5519/801/5515",13
"R-HSA-195253","R-HSA-195253","Degradation of beta-catenin by the destruction complex","21/1871","70/11287",0.3,1.80978086584714,3.02936680739294,0.00368213065627216,0.0151503418888143,0.0151503418888143,"5693/5704/6934/5714/5529/5717/8945/5527/7088/7091/5688/51176/5707/5705/7311/5519/11047/5684/324/9861/5515",21
"R-HSA-5685942","R-HSA-5685942","HDR through Homologous Recombination (HRR)","21/1871","70/11287",0.3,1.80978086584714,3.02936680739294,0.00368213065627216,0.0151503418888143,0.0151503418888143,"472/5427/5984/5932/641/5888/1111/5426/6118/55732/6117/5424/80010/5985/7311/675/9156/4361/5111/580/672",21
"R-HSA-2559586","R-HSA-2559586","DNA Damage/Telomere Stress Induced Senescence","23/1871","79/11287",0.291139240506329,1.75632742255208,3.00699719808276,0.00371291590958765,0.0152406357812598,0.0152406357812598,"472/1026/8091/3007/8338/7157/3159/3009/3005/85236/890/8331/1027/3008/4361/554313/3017/8337/8370/4001/3006/8349/8343",23
"R-HSA-5218859","R-HSA-5218859","Regulated Necrosis","18/1871","57/11287",0.31578947368421,1.90503249036541,3.05341202788988,0.00378510686599126,0.0154633275757558,0.0154633275757558,"355/11140/3320/3146/7332/100526767/7157/54205/836/2319/51652/331/578/7311/581/3659/8795/5071",18
"R-HSA-447115","R-HSA-447115","Interleukin-12 family signaling","18/1871","57/11287",0.31578947368421,1.90503249036541,3.05341202788988,0.00378510686599126,0.0154633275757558,0.0154633275757558,"759/998/3185/302/4478/5908/6647/5034/149233/5478/4282/6774/6950/6772/5062/1072/4001/1265",18
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","101/1871","475/11287",0.212631578947368,1.28272187684604,2.80625345686,0.00380037986067797,0.0154890186283896,0.0154890186283896,"10092/2357/210/1654/5049/8895/5284/5787/22931/10533/79888/7133/2547/2512/2665/4860/3320/6093/302/79980/25852/80142/2821/55754/948/158747/55313/230/2683/3146/5315/5908/327/25801/51719/5036/9761/4893/7226/5906/387/3916/5478/2950/5717/5660/4282/4318/4973/5211/10075/10890/1915/4831/8560/23197/9145/64114/23406/29099/51552/10562/22875/6836/1432/54472/1938/5707/3304/6515/5594/57826/8904/3614/4680/3326/960/1727/6518/5878/5869/8566/28988/23191/102/127829/8673/150372/5223/1476/23114/3482/54918/7097/9861/56888/1265/203068/5328/3107/10576",101
"R-HSA-1632852","R-HSA-1632852","Macroautophagy","37/1871","145/11287",0.255172413793103,1.53935383991596,2.91373392728314,0.00382120932728086,0.0155371813213024,0.0155371813213024,"8897/7431/81631/55054/10533/472/3320/79065/10226/8878/7248/7332/100526767/401505/10381/8408/2034/51652/64419/1783/2475/9927/7311/10376/9821/9474/58528/5562/64121/140735/5116/7323/22863/1457/56270/1080/5071",37
"R-HSA-373760","R-HSA-373760","L1CAM interactions","32/1871","121/11287",0.264462809917355,1.59539911038866,2.93511922204059,0.00383027571655873,0.0155374007890523,0.0155374007890523,"1173/163/9252/4478/6711/1956/214/60/10381/6197/8829/6195/3912/1175/8986/5594/3680/11313/10376/8828/4684/3915/71/5595/3673/23114/6712/1457/7410/6324/3678/5058",32
"R-HSA-8941856","R-HSA-8941856","RUNX3 regulates NOTCH signaling","7/1871","14/11287",0.5,3.01630144307857,3.36490972326852,0.0039570374903545,0.0159019408703291,0.0159019408703291,"182/3516/8850/4851/2648/864/2033",7
"R-HSA-6804116","R-HSA-6804116","TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest","7/1871","14/11287",0.5,3.01630144307857,3.36490972326852,0.0039570374903545,0.0159019408703291,0.0159019408703291,"1026/79733/7157/1869/890/1027/1820",7
"R-HSA-69166","R-HSA-69166","Removal of the Flap Intermediate","7/1871","14/11287",0.5,3.01630144307857,3.36490972326852,0.0039570374903545,0.0159019408703291,0.0159019408703291,"2237/6118/6117/5424/5422/5557/5111",7
"R-HSA-180336","R-HSA-180336","SHC1 events in EGFR signaling","7/1871","14/11287",0.5,3.01630144307857,3.36490972326852,0.0039570374903545,0.0159019408703291,0.0159019408703291,"3845/4893/1956/255324/1839/2069/2885",7
"R-HSA-1660499","R-HSA-1660499","Synthesis of PIPs at the plasma membrane","17/1871","53/11287",0.320754716981132,1.93498583140889,3.04123126493635,0.00403422777771975,0.0161744388111368,0.0161744388111368,"8897/9107/5868/8503/5305/59339/66036/5296/23396/51552/5295/64419/4952/5728/79837/81846/65977",17
"R-HSA-5218921","R-HSA-5218921","VEGFR2 mediated cell proliferation","9/1871","21/11287",0.428571428571429,2.58540123692449,3.24143754678554,0.00405134508956787,0.0161962293368532,0.0161962293368532,"7422/5921/3845/4893/5578/808/801/3708/5170",9
"R-HSA-427389","R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","22/1871","75/11287",0.293333333333333,1.76956351327276,2.98062436734407,0.00405845189879383,0.0161962293368532,0.0161962293368532,"9112/57459/3066/333932/9219/5928/8357/3021/8338/11335/8351/85236/8331/53615/1108/8358/554313/3017/8337/8370/8349/8343",22
"R-HSA-157579","R-HSA-157579","Telomere Maintenance","30/1871","112/11287",0.267857142857143,1.6158757730778,2.91979296383592,0.00409484300046298,0.0162661505364013,0.0162661505364013,"23243/2237/5984/3021/5432/8338/641/5441/80169/6118/6117/7015/5424/8607/85236/5422/890/5985/8331/54921/5557/63922/554313/5111/3017/8337/8370/79075/8349/8343",30
"R-HSA-2408522","R-HSA-2408522","Selenoamino acid metabolism","30/1871","112/11287",0.267857142857143,1.6158757730778,2.91979296383592,0.00409484300046298,0.0162661505364013,0.0162661505364013,"7965/6210/6157/6134/6201/4141/2058/6204/6146/6136/875/6142/22928/6218/6154/6187/6147/6222/6132/6188/6124/6133/7311/6122/60678/6192/6203/51540/6227/6176",30
"R-HSA-9013149","R-HSA-9013149","RAC1 GTPase cycle","45/1871","185/11287",0.243243243243243,1.46738989122741,2.85718433049098,0.00413371216494428,0.0163828040743999,0.0163828040743999,"94134/23580/998/147179/29127/3930/182/10451/10298/115703/9341/10163/396/23344/7037/1795/394/51347/8503/392/85440/5296/9743/5295/1969/5062/23075/57522/11113/10152/6510/9815/23191/4983/116984/26999/2909/64857/23380/7410/857/6655/1894/8976/5058",45
"R-HSA-9012852","R-HSA-9012852","Signaling by NOTCH3","16/1871","49/11287",0.326530612244898,1.96982951384723,3.03265225795134,0.00427280159265053,0.0168952062975448,0.0168952062975448,"182/10320/3516/1956/8850/4851/57534/51107/2648/2033/6772/7311/10460/102/142678/23129",16
"R-HSA-190236","R-HSA-190236","Signaling by FGFR","25/1871","89/11287",0.280898876404494,1.69455137251605,2.93226243982066,0.00430331592290768,0.0169769259750408,0.0169769259750408,"10253/867/3187/3845/2255/3185/4670/4893/5432/22916/5441/10818/5725/5781/53834/5295/5594/3178/673/7311/2962/5595/7049/2885/5515",25
"R-HSA-4086398","R-HSA-4086398","Ca2+ pathway","19/1871","62/11287",0.306451612903226,1.84870088446751,2.98697107119953,0.00431894015681492,0.0169996639962304,0.0169996639962304,"27327/3845/6934/23112/23236/55970/7855/5578/51176/192669/8323/4772/27161/26523/808/801/5530/3708/10681",19
"R-HSA-9614399","R-HSA-9614399","Regulation of localization of FOXO transcription factors","6/1871","11/11287",0.545454545454545,3.29051066517662,3.38785503743677,0.00446039963801955,0.0172428238929437,0.0172428238929437,"207/7529/208/7534/2308/10971",6
"R-HSA-2468052","R-HSA-2468052","Establishment of Sister Chromatid Cohesion","6/1871","11/11287",0.545454545454545,3.29051066517662,3.38785503743677,0.00446039963801955,0.0172428238929437,0.0172428238929437,"10735/8243/23063/113130/9126/157570",6
"R-HSA-1234158","R-HSA-1234158","Regulation of gene expression by Hypoxia-inducible Factor","6/1871","11/11287",0.545454545454545,3.29051066517662,3.38785503743677,0.00446039963801955,0.0172428238929437,0.0172428238929437,"7422/405/64344/2034/3091/2033",6
