"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69236","R-HSA-69236","G1 Phase","18/1871","47/11287",0.382978723404255,2.31035855214529,4.01263459072498,0.000291804848896719,0.00225592627577553,0.00225592627577553,"1032/5933/1022/1026/1870/894/1871/25/1021/1869/1875/7311/1019/1027/5519/1029/595/5515",18
"R-HSA-2173789","R-HSA-2173789","TGF-beta receptor signaling activates SMADs","18/1871","47/11287",0.382978723404255,2.31035855214529,4.01263459072498,0.000291804848896719,0.00225592627577553,0.00225592627577553,"4088/867/25805/4053/9372/5045/7040/7514/4089/9110/3696/23327/7311/7048/7042/2200/7049/4087",18
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","24/1871","71/11287",0.338028169014085,2.03918970799678,3.91542313618526,0.000293425423489073,0.00225832781292483,0.00225832781292483,"6416/4205/9252/5608/9261/5606/79155/8945/6197/5599/6195/3654/1432/3551/5594/7311/1848/5595/1385/1386/5519/23118/2002/5515",24
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","11/1871","22/11287",0.5,3.01630144307857,4.21963508915765,0.000298124490384817,0.00228429609521522,0.00228429609521522,"4205/9252/6197/6195/1432/5594/1848/5595/5519/2002/5515",11
"R-HSA-165159","R-HSA-165159","MTOR signalling","19/1871","51/11287",0.372549019607843,2.24744029092129,3.97990478120875,0.000303285825492019,0.00231356089888602,0.00231356089888602,"27327/207/7529/6198/208/7248/23112/51719/1977/192669/2475/27161/26523/58528/5562/64121/1975/5230/55437",19
"R-HSA-72649","R-HSA-72649","Translation initiation complex formation","21/1871","59/11287",0.35593220338983,2.14719763744576,3.93809999645596,0.00031042137886484,0.00235756148529949,0.00235756148529949,"6210/8668/6201/6204/8662/1964/6218/8663/1977/6187/51386/6222/1974/10480/6188/26986/6192/1975/7458/6203/6227",21
"R-HSA-9609690","R-HSA-9609690","HCMV Early Events","39/1871","137/11287",0.284671532846715,1.71731031065787,3.7653349472582,0.000318785658800613,0.00241046699900113,0.00241046699900113,"8841/81929/2146/333932/85235/5928/8357/23225/1956/9818/8338/10381/440689/23512/9883/8351/79023/10155/53371/85236/8086/348995/1783/5371/5903/10376/8331/10951/1385/140735/8021/8358/554313/3017/2002/8337/8370/8349/8343",39
"R-HSA-140342","R-HSA-140342","Apoptosis induced DNA fragmentation","8/1871","13/11287",0.615384615384615,3.71237100686593,4.36169653411394,0.000328777645526585,0.00247516445802547,0.00247516445802547,"3146/3007/1676/836/3009/3005/3008/3006",8
"R-HSA-202131","R-HSA-202131","Metabolism of nitric oxide: NOS3 activation and regulation","10/1871","19/11287",0.526315789473684,3.17505415060902,4.2295790556647,0.000331533667559368,0.00247665471046014,0.00247665471046014,"207/3320/23576/4836/51070/10434/808/801/857/8976",10
"R-HSA-5218920","R-HSA-5218920","VEGFR2 mediated vascular permeability","13/1871","29/11287",0.448275862068966,2.70427025931182,4.09619415864343,0.000334721895323209,0.00247665471046014,0.00247665471046014,"207/10451/3320/208/5062/2475/1500/808/801/5170/7410/857/5058",13
"R-HSA-8863795","R-HSA-8863795","Downregulation of ERBB2 signaling","13/1871","29/11287",0.448275862068966,2.70427025931182,4.09619415864343,0.000334721895323209,0.00247665471046014,0.00247665471046014,"207/11140/3320/208/1956/10193/9101/8065/1839/2064/7311/2066/2069",13
"R-HSA-186763","R-HSA-186763","Downstream signal transduction","13/1871","29/11287",0.448275862068966,2.70427025931182,4.09619415864343,0.000334721895323209,0.00247665471046014,0.00247665471046014,"2889/5921/3845/1398/4893/5296/5781/6774/5295/6772/6777/6778/2885",13
"R-HSA-8856825","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis","32/1871","106/11287",0.30188679245283,1.82116313544366,3.78630630811954,0.000343268328343488,0.00250502366113988,0.00250502366113988,"85021/867/1173/163/9146/8674/29979/9341/2060/7037/1956/22905/2873/29924/26119/50813/255324/1839/1175/6455/25977/7311/29978/409/8673/3949/10618/3482/1080/2069/2885/30011",32
"R-HSA-983168","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","72/1871","296/11287",0.243243243243243,1.46738989122741,3.63228785481419,0.000345776112173893,0.00250502366113988,0.00250502366113988,"90933/54620/57531/10533/26267/5693/197131/7317/5704/991/5714/51130/64682/25831/4012/57542/55175/80028/11065/7332/57520/27338/51132/5717/57674/122769/7328/29116/23295/10193/9903/8945/131405/118424/4591/10075/9520/64718/26118/8065/7319/5688/7064/9320/223082/8651/5707/91694/84231/23327/5705/7311/27252/140456/899/65264/9870/140459/11047/7323/5684/9021/8925/8924/84861/9861/142678/54778/26046/27246/26249/5071",72
"R-HSA-1295596","R-HSA-1295596","Spry regulation of FGF signaling","9/1871","16/11287",0.5625,3.39333912346339,4.27028340227314,0.000347274161840158,0.00250502366113988,0.00250502366113988,"10253/867/5781/5594/673/7311/5595/2885/5515",9
"R-HSA-156711","R-HSA-156711","Polo-like kinase mediated events","9/1871","16/11287",0.5625,3.39333912346339,4.27028340227314,0.000347274161840158,0.00250502366113988,0.00250502366113988,"7465/5347/5928/4605/9088/2033/993/55957/286826",9
"R-HSA-1362300","R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","9/1871","16/11287",0.5625,3.39333912346339,4.27028340227314,0.000347274161840158,0.00250502366113988,0.00250502366113988,"5933/5928/4605/983/1869/1875/890/55957/286826",9
"R-HSA-2559584","R-HSA-2559584","Formation of Senescence-Associated Heterochromatin Foci (SAHF)","9/1871","16/11287",0.5625,3.39333912346339,4.27028340227314,0.000347274161840158,0.00250502366113988,0.00250502366113988,"8091/3007/7157/3159/3009/3005/3008/4001/3006",9
"R-HSA-975138","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","31/1871","102/11287",0.303921568627451,1.83343813206736,3.76902614604509,0.000370440929373021,0.0026610006759962,0.0026610006759962,"6416/4205/4214/9252/5608/9261/148022/5606/51135/79155/4791/3146/8945/6197/7157/5599/6195/3654/351/1432/3551/5594/7311/1848/5595/1385/1386/5519/23118/2002/5515",31
"R-HSA-69541","R-HSA-69541","Stabilization of p53","17/1871","44/11287",0.386363636363636,2.33077838783344,3.94243610919124,0.000378343386485758,0.00270648961950808,0.00270648961950808,"5693/5704/472/5714/5717/7157/4193/5688/5707/5705/7311/11200/1029/11047/5684/9861/4194",17
"R-HSA-72187","R-HSA-72187","mRNA 3'-end processing","42/1871","152/11287",0.276315789473684,1.66690342906973,3.68988920168063,0.000384928985082639,0.00273093650322004,0.00273093650322004,"10262/9295/6434/6432/3187/23451/26097/22794/3191/3185/4670/3190/23450/10523/9939/5432/6426/22916/10291/1479/10921/5441/6625/5725/8189/5093/11325/6628/3192/3178/7311/10212/2962/9879/64852/10992/6634/11338/58517/1665/79869/55339",42
"R-HSA-9010553","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","42/1871","152/11287",0.276315789473684,1.66690342906973,3.68988920168063,0.000384928985082639,0.00273093650322004,0.00273093650322004,"6210/6157/6134/6201/5693/5704/22794/6092/5714/6204/6091/6146/6136/9939/5717/22916/6142/10921/6218/6154/6187/6147/5688/6222/5707/6132/6188/5705/6124/6133/7311/6122/26986/1605/6192/6203/11047/5684/6227/2107/6176/9861",42
"R-HSA-389356","R-HSA-389356","Co-stimulation by CD28","18/1871","48/11287",0.375,2.26222608230893,3.90631827107769,0.00039537748076092,0.00279356875750749,0.00279356875750749,"998/207/5529/208/9020/8503/5527/7525/5296/5295/5062/2475/5519/940/5170/2885/5515/5058",18
"R-HSA-72662","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","21/1871","60/11287",0.35,2.111411010155,3.84761979554998,0.000403966395612394,0.0028426043511664,0.0028426043511664,"6210/8668/6201/6204/8662/1964/6218/8663/1977/6187/51386/6222/1974/10480/6188/26986/6192/1975/7458/6203/6227",21
"R-HSA-9609646","R-HSA-9609646","HCMV Infection","44/1871","162/11287",0.271604938271605,1.63848473451181,3.64864581759188,0.000425681870138901,0.00298323391918482,0.00298323391918482,"8841/81929/2146/137492/333932/85235/3190/5928/8357/23225/1956/100526767/9818/8338/10381/440689/23512/51652/9883/8351/79720/79023/10155/53371/85236/8086/348995/1783/5371/5903/10376/8331/10951/1385/140735/8021/8358/554313/3017/2002/8337/8370/8349/8343",44
"R-HSA-975155","R-HSA-975155","MyD88 dependent cascade initiated on endosome","31/1871","103/11287",0.300970873786408,1.81563776185312,3.7067308213864,0.000447242973942307,0.00312164731609934,0.00312164731609934,"6416/4205/4214/9252/5608/9261/148022/5606/51135/79155/4791/3146/8945/6197/7157/5599/6195/3654/351/1432/3551/5594/7311/1848/5595/1385/1386/5519/23118/2002/5515",31
"R-HSA-9013422","R-HSA-9013422","RHOBTB1 GTPase cycle","11/1871","23/11287",0.478260869565217,2.88515790207515,4.03402905392448,0.000486261826087111,0.00336672846656297,0.00336672846656297,"1627/7431/6434/6093/11329/4646/2873/23013/9352/79869/10576",11
"R-HSA-5627123","R-HSA-5627123","RHO GTPases activate PAKs","11/1871","23/11287",0.478260869565217,2.88515790207515,4.03402905392448,0.000486261826087111,0.00336672846656297,0.00336672846656297,"998/2316/4638/4771/5062/79784/4627/808/801/103910/5058",11
"R-HSA-114452","R-HSA-114452","Activation of BH3-only proteins","13/1871","30/11287",0.433333333333333,2.61412791733476,3.94603501911505,0.000501752716907541,0.0034463015296757,0.0034463015296757,"207/7529/208/7531/7534/7157/10018/5599/1869/10971/5366/596/140735",13
"R-HSA-201556","R-HSA-201556","Signaling by ALK","13/1871","30/11287",0.433333333333333,2.61412791733476,3.94603501911505,0.000501752716907541,0.0034463015296757,0.0034463015296757,"8841/3066/4609/1786/3091/10818/5296/6774/5295/2033/3667/25942/4613",13
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","22/1871","65/11287",0.338461538461538,2.04180405377626,3.75475220429748,0.000506849899819977,0.00346749693368905,0.00346749693368905,"4088/207/7529/3066/1026/208/6720/9314/8850/7534/10018/2308/4089/2908/10971/10628/2033/1027/25942/694/4087/857",22
"R-HSA-8941858","R-HSA-8941858","Regulation of RUNX3 expression and activity","17/1871","45/11287",0.377777777777778,2.27898331254825,3.83197825795969,0.000515226600591862,0.00351087217162202,0.00351087217162202,"5693/5704/5714/5717/865/7040/4193/864/5688/5707/2033/5705/7311/1029/11047/5684/9861",17
"R-HSA-8936459","R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","29/1871","95/11287",0.305263157894737,1.84153140735323,3.67157135504669,0.000520956968273359,0.00352207769922852,0.00352207769922852,"27327/4297/861/333932/8357/23112/8850/2623/3021/8338/865/5929/8351/161882/192669/2033/85236/7057/8331/26523/25942/9757/8358/554313/3017/8337/8370/8349/8343",29
"R-HSA-72689","R-HSA-72689","Formation of a pool of free 40S subunits","29/1871","95/11287",0.305263157894737,1.84153140735323,3.67157135504669,0.000520956968273359,0.00352207769922852,0.00352207769922852,"6210/6157/8668/6134/6201/6204/6146/6136/8662/1964/6142/6218/8663/6154/6187/6147/51386/6222/10480/6132/6188/6124/6133/7311/6122/6192/6203/6227/6176",29
