"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9918481","R-HSA-9918481","Dengue Virus-Host Interactions","85/2421","292/11287",0.291095890410959,1.35712487198203,3.23085495067383,0.00110883174062192,0.0143781771631198,0.0104198775462951,"440689/8970/9716/8367/2475/10992/6773/10523/1499/554313/51645/3181/8363/3339/10291/8896/29959/8347/2239/6638/79109/7448/5824/9785/121504/2147/27238/23450/8359/6632/1993/2521/7099/5725/10084/6431/1665/5094/7329/6426/11052/10946/84991/23168/550/3192/64135/2817/8346/5435/53981/9343/5437/54623/22863/1478/5434/8349/9775/8370/3312/10949/8337/6628/79869/7082/5436/4670/23352/30849/10285/7431/3190/6432/9646/1654/85236/6385/1191/23524/2194/23601/4686/9672/1994",85
"R-HSA-168142","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","34/2421","96/11287",0.354166666666667,1.6511685942448,3.34809806037494,0.00111756133402439,0.0143781771631198,0.0104198775462951,"7157/5604/6233/7189/6416/351/3146/9097/4214/4208/1386/5528/1432/5599/11274/9683/28511/4790/841/10454/1846/3656/5515/1848/1845/7314/3725/1849/6885/2353/5609/57161/6195/1385",34
"R-HSA-168176","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","34/2421","96/11287",0.354166666666667,1.6511685942448,3.34809806037494,0.00111756133402439,0.0143781771631198,0.0104198775462951,"7157/5604/6233/7189/6416/351/3146/9097/4214/4208/1386/5528/1432/5599/11274/9683/28511/4790/841/10454/1846/3656/5515/1848/1845/7314/3725/1849/6885/2353/5609/57161/6195/1385",34
"R-HSA-975871","R-HSA-975871","MyD88 cascade initiated on plasma membrane","34/2421","96/11287",0.354166666666667,1.6511685942448,3.34809806037494,0.00111756133402439,0.0143781771631198,0.0104198775462951,"7157/5604/6233/7189/6416/351/3146/9097/4214/4208/1386/5528/1432/5599/11274/9683/28511/4790/841/10454/1846/3656/5515/1848/1845/7314/3725/1849/6885/2353/5609/57161/6195/1385",34
"R-HSA-190236","R-HSA-190236","Signaling by FGFR","32/2421","89/11287",0.359550561797753,1.6762689760476,3.34693894875734,0.00115643219131979,0.0147680673913727,0.0107024313351935,"6233/161742/10817/3265/2247/8569/5725/4893/10253/2261/5295/80004/8074/5435/5437/5515/53834/7072/5434/200734/7314/7049/2885/5436/4670/2591/2254/3845/4686/6714/2263/9965",32
"R-HSA-389356","R-HSA-389356","Co-stimulation by CD28","20/2421","48/11287",0.416666666666667,1.94255128734683,3.41952141763511,0.00123792134686522,0.0154776502878921,0.011216666679966,"5170/2475/5529/5291/79109/5294/7409/207/5528/57761/940/5295/5515/5293/2885/7525/5058/2534/6714/5527",20
"R-HSA-168179","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","39/2421","115/11287",0.339130434782609,1.58106783039707,3.27275762348323,0.00130593825824473,0.0154776502878921,0.011216666679966,"7157/5604/6233/7189/6416/351/6279/3146/9097/4214/4208/1386/5528/1432/5599/7099/11274/9683/7096/28511/4790/841/10454/1846/3656/5515/948/1848/1845/7314/6271/3725/1849/6885/2353/5609/57161/6195/1385",39
"R-HSA-181438","R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","39/2421","115/11287",0.339130434782609,1.58106783039707,3.27275762348323,0.00130593825824473,0.0154776502878921,0.011216666679966,"7157/5604/6233/7189/6416/351/6279/3146/9097/4214/4208/1386/5528/1432/5599/7099/11274/9683/7096/28511/4790/841/10454/1846/3656/5515/948/1848/1845/7314/6271/3725/1849/6885/2353/5609/57161/6195/1385",39
"R-HSA-2691230","R-HSA-2691230","Signaling by NOTCH1 HD Domain Mutants in Cancer","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"6233/54567/182/57534/102/142678/7314/4851/6868",9
"R-HSA-2691232","R-HSA-2691232","Constitutive Signaling by NOTCH1 HD Domain Mutants","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"6233/54567/182/57534/102/142678/7314/4851/6868",9
