"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-162587","R-HSA-162587","HIV Life Cycle","55/2421","150/11287",0.366666666666667,1.70944513286521,4.57071231761242,1.28221724958792e-05,0.000789479477960561,0.000572136467115074,"100526767/7314/8148/4331/6884/6875/23511/5905/7936/51224/6233/8731/5434/348995/5435/904/2960/6829/23165/79643/5436/3836/51652/9525/2958/6923/51497/91782/8480/155382/5478/7520/27183/7514/51616/7852/1025/10762/3978/11097/55706/9972/4686/1104/6880/2957/79023/79720/5045/9688/5437/5903/920/3981/3159",55
"R-HSA-9909648","R-HSA-9909648","Regulation of PD-L1(CD274) expression","67/2421","194/11287",0.345360824742268,1.61011467528541,4.47910645055086,1.57229599835284e-05,0.000934702862469065,0.000677379980689141,"8367/3725/27327/5565/7314/2146/1457/8970/142678/1387/467/5684/6233/7991/8337/84061/8359/8726/121504/5689/8363/4609/4780/10413/23112/6400/7979/3091/4613/2353/595/3021/4790/1019/8346/7415/2033/1499/5700/85236/6934/5695/5706/8349/51176/6184/554313/29126/2932/58508/5704/6774/8370/5571/2354/5562/79139/7005/26523/3014/8347/27161/11047/3727/5713/192669/23476",67
"R-HSA-9659787","R-HSA-9659787","Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","12/2421","17/11287",0.705882352941177,3.29091041621109,4.93939961711036,1.92186200756469e-05,0.00106880325840049,0.000774562654727911,"898/595/1870/1019/1017/9134/1871/1021/1027/5925/894/1026",12
"R-HSA-9661069","R-HSA-9661069","Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)","12/2421","17/11287",0.705882352941177,3.29091041621109,4.93939961711036,1.92186200756469e-05,0.00106880325840049,0.000774562654727911,"898/595/1870/1019/1017/9134/1871/1021/1027/5925/894/1026",12
"R-HSA-9759194","R-HSA-9759194","Nuclear events mediated by NFE2L2","36/2421","87/11287",0.413793103448276,1.92915438191685,4.54613207281844,2.04521110865455e-05,0.00110185748478764,0.00079851708145629,"7314/9817/6347/1387/5684/6233/10061/2539/9429/571/5689/4609/4780/2936/4097/7979/2938/4790/2033/3162/5700/6667/4363/5695/5706/7086/4851/2932/23657/7975/5704/596/1029/11047/7296/5713",36
"R-HSA-5628897","R-HSA-5628897","TP53 Regulates Metabolic Genes","35/2421","84/11287",0.416666666666667,1.94255128734683,4.53086393466761,2.22149484756849e-05,0.00113205588595818,0.000820401889156255,"27327/5565/7533/2539/54205/4512/7001/23112/2936/57103/1351/7534/4514/27244/1350/9997/54541/207/5728/9377/5571/2475/58528/5562/26523/83667/27161/4513/9167/2810/64121/7531/7296/7157/192669",35
"R-HSA-69206","R-HSA-69206","G1/S Transition","46/2421","121/11287",0.380165289256198,1.7723773729181,4.46351470697579,2.23259281453469e-05,0.00113205588595818,0.000820401889156255,"7083/7314/4331/3065/6119/5111/898/4171/5684/6233/7298/84515/5753/5689/4609/7979/5515/595/891/6117/983/993/1019/7465/4176/5422/5700/1017/5695/5706/207/9134/5704/51053/4172/23594/990/26271/5000/54107/11047/1027/5925/6241/5713/1026",46
"R-HSA-9735871","R-HSA-9735871","SARS-CoV-1 targets host intracellular signalling and regulatory pathways","11/2421","15/11287",0.733333333333333,3.41889026573041,4.89851971725927,2.48429661963013e-05,0.00121890896302605,0.000883344389954441,"7533/7534/2033/6667/5706/4089/5170/2810/7329/7531/857",11
"R-HSA-162906","R-HSA-162906","HIV Infection","73/2421","219/11287",0.333333333333333,1.55404102987746,4.3264627041934,2.67181331049716e-05,0.00121890896302605,0.000883344389954441,"100526767/7314/8148/375/4331/6884/6875/23511/5905/7936/51224/5684/6233/8731/5434/160/5689/348995/7979/163/5435/904/2960/2534/6829/23165/940/79643/5436/3836/51652/3837/9525/2958/6923/51497/91782/8480/155382/5700/4869/5478/5695/5706/7520/27183/130340/7514/51616/7852/1025/292/5704/10762/3978/11097/55706/9972/4686/1104/6880/2957/79023/79720/5045/11047/9688/5437/5713/5903/920/3981/3159",73
"R-HSA-69231","R-HSA-69231","Cyclin D associated events in G1","23/2421","47/11287",0.48936170212766,2.28146449067117,4.60019142361654,2.68669028973259e-05,0.00121890896302605,0.000883344389954441,"7314/1032/4331/3717/898/6233/5753/5515/595/1870/1019/1017/9134/6714/25/1871/1029/1021/1027/5925/5520/894/1026",23
