"Symbol","logFC","logCPM","F","PValue","FDR"
"hsa-miR-200c-3p",-1.08340978648338,12.4817060457327,0.84348738537378,0.366298781879347,0.942874585183671
"hsa-miR-103a-3p",0.754748783967666,14.0303813095903,0.789988657638445,0.382413493682377,0.942874585183671
"hsa-miR-425-5p",-1.10287924756042,12.1479993524718,0.756452439333494,0.391513089702947,0.942874585183671
"hsa-miR-1246",0.807687792530178,13.2823501671013,0.756527894860347,0.392428516328603,0.942874585183671
"hsa-miR-22-3p",-0.695797211333509,12.8554773855233,0.752476806335933,0.393514222951967,0.942874585183671
"hsa-miR-181b-5p",0.874399910627466,13.2898644437002,0.748929568676554,0.394531342368807,0.942874585183671
"hsa-miR-320d",-1.14535672625374,11.9063544564205,0.728760337985694,0.400019477226575,0.942874585183671
"hsa-miR-191-5p",-0.858291375976065,12.7595467756601,0.723744475733894,0.40244407181434,0.942874585183671
"hsa-miR-423-3p",-0.96012253398156,12.6806535127859,0.6999312019921,0.410203311166918,0.942874585183671
"hsa-miR-26b-5p",-1.08652293866331,11.9249916177507,0.686277403118036,0.414071798326368,0.942874585183671
"hsa-miR-126-3p",-0.899061014687404,12.0499871485042,0.630093967476102,0.433768866530057,0.942874585183671
"hsa-miR-210-3p",0.776652025698204,11.9011684835717,0.619560334496578,0.437275169940253,0.942874585183671
"hsa-miR-27b-3p",0.503080682595142,14.0270245659377,0.532755258240515,0.472131366247958,0.958718722790454
"hsa-miR-143-3p",-0.698033928694789,12.0810110254492,0.52149413703483,0.476095933026749,0.958718722790454
"hsa-miR-19b-3p",0.446786650265783,14.7223804522074,0.499271350630082,0.486306598516897,0.958718722790454
"hsa-miR-3960",0.808291442258096,12.108250484201,0.426371529528087,0.518808502090863,0.978364017729582
"hsa-miR-143-5p",0.861838079723153,11.3797086542988,0.411943291624152,0.525297186608072,0.978364017729582
"hsa-miR-93-5p",-0.479461986816418,13.2823404660998,0.282638148868083,0.599548121517937,0.978364017729582
"hsa-miR-128-3p",0.618847435212778,12.7134071197374,0.281806314538549,0.599872567140387,0.978364017729582
"hsa-miR-184",0.709393926196253,11.4489969501362,0.251753317756324,0.619014294445406,0.978364017729582
"hsa-miR-423-5p",0.286023021799224,15.8855567157211,0.233797450528631,0.632901707721161,0.978364017729582
"hsa-let-7c-5p",-0.865651710753858,14.5418265083788,0.224604210291425,0.643304141350556,0.978364017729582
"hsa-let-7a-5p",0.94379347840035,12.4811549575432,0.21884329364292,0.644948252618753,0.978364017729582
"hsa-miR-21-5p",-0.275785005572708,16.7282559432394,0.196457742651009,0.661379017766826,0.978364017729582
"hsa-miR-126-5p",0.866868640505877,11.1350825066869,0.188899548600784,0.666510702403656,0.978364017729582
"hsa-miR-660-5p",0.569062161719523,12.0215494288261,0.184722125888415,0.670563925568088,0.978364017729582
"hsa-miR-140-3p",0.582890051141395,11.6803012481043,0.176797748125159,0.677003928777252,0.978364017729582
"hsa-let-7i-5p",-0.42366807759605,12.2372364997889,0.167030597484289,0.685839853965389,0.978364017729582
"hsa-miR-25-3p",0.301493021505456,13.475793589141,0.152427359604092,0.699452354803882,0.978364017729582
"hsa-miR-10a-5p",0.437807817518918,12.0828942180008,0.1394521163952,0.711581431823379,0.978364017729582
"hsa-miR-29a-3p",-0.281648806238462,13.6426902446027,0.128320419588266,0.723138621800126,0.978364017729582
"hsa-miR-429",0.295614366095611,12.1292692399662,0.0858315596622456,0.771681357735295,0.990746811604478
"hsa-miR-486-5p",-0.19381687359926,13.6368787492436,0.054867773941518,0.816659589103185,0.990746811604478
"hsa-miR-146a-5p",0.221685412178325,12.3415955490984,0.0510640915873249,0.822900285859794,0.990746811604478
"hsa-miR-320b",0.158297331949704,13.240859790614,0.0287275139163979,0.866732077874847,0.990746811604478
"hsa-miR-107",0.146845022276162,12.8387339970707,0.0232332865292257,0.879989061839791,0.990746811604478
"hsa-miR-9-5p",0.146041012570322,12.350730528193,0.0131807601983898,0.909526382511345,0.990746811604478
"hsa-miR-27a-3p",0.117223241730278,12.1927466054021,0.010092004314626,0.920694882389435,0.990746811604478
"hsa-miR-29c-3p",-0.109245399771081,11.9968057460745,0.0100848333120892,0.920710643882343,0.990746811604478
"hsa-miR-4488",0.102054635013213,11.716729536571,0.00905653505282808,0.924798352057119,0.990746811604478
"hsa-miR-23a-3p",-0.0562659845460061,15.2098317001855,0.00792222151796288,0.929780954186452,0.990746811604478
"hsa-miR-16-5p",-0.0505164548501173,14.8706016029301,0.00587459460986608,0.939511048305303,0.990746811604478
"hsa-miR-320a-3p",-0.0477026604116213,16.5854860514197,0.0056012842052022,0.940931924673908,0.990746811604478
"hsa-miR-130b-3p",-0.0542116934279043,12.5243374917315,0.00334570408727671,0.954288177533892,0.990746811604478
"hsa-miR-24-3p",0.0551840631594199,13.5560053782292,0.00296216468693984,0.957019169881709,0.990746811604478
"hsa-miR-320c",-0.0402274992117066,12.2579609864639,0.000840016117318651,0.977099627591364,0.990746811604478
"hsa-miR-203a-3p",-0.0303541031367786,12.5093418984369,0.000656989567861497,0.979736735313661,0.990746811604478
"hsa-miR-148a-3p",-0.0158199236401082,13.3511855743757,0.000311194686896259,0.98606165882776,0.990746811604478
"hsa-miR-7975",-0.0135702304474673,12.3915781895846,0.000136747282851958,0.990746811604478,0.990746811604478
